    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
        56     1.19999997E+001   7.17429656E+003  -1.42140649E-020   3.47019638E-020  -1.19999997E+001   7.18224382E-021  -6.09863722E-021  -9.86793384E-021  -6.99116097E+003  -6.99115283E+003  -1.41563656E+004  -2.08419380E+002  -5.35151383E-003   4.43404229E-003   2.94195558E-002   1.19745307E+001   0.00000000E+000   1.06763407E+015   2.74794757E+012   1.00000000E-014   5.60000000E-013
        57     1.19999997E+001   7.17401890E+003   5.36501073E-021   5.00628318E-020  -1.19999997E+001   9.71771784E-021  -5.25372186E-020  -2.41827906E-020  -6.99125604E+003  -6.99124799E+003  -1.41561753E+004  -2.08503366E+002  -5.64997486E-003   4.83344309E-003   2.99863422E-002   1.19740402E+001   0.00000000E+000   1.07299253E+015   3.07495378E+012   1.00000000E-014   5.70000000E-013
        58     1.19999997E+001   7.17374060E+003   5.51699897E-020   6.14543910E-020  -1.19999997E+001   2.35804377E-020  -5.14572515E-020   6.90331852E-020  -6.99135134E+003  -6.99134337E+003  -1.41559847E+004  -2.08587546E+002  -5.99884551E-003   5.24763786E-003   3.05544360E-002   1.19735486E+001   0.00000000E+000   1.07845296E+015   3.42722225E+012   1.00000000E-014   5.80000000E-013
        59     1.19999997E+001   7.17346153E+003  -1.39575406E-020   1.31405912E-020  -1.19999997E+001  -2.00722407E-020   1.59242194E-020   4.87890978E-020  -6.99144687E+003  -6.99143903E+003  -1.41557935E+004  -2.08671958E+002  -6.36097445E-003   5.67598429E-003   3.11240951E-002   1.19730556E+001   0.00000000E+000   1.08401175E+015   3.80402720E+012   1.00000000E-014   5.90000000E-013
        60     1.19999997E+001   7.17318159E+003  -9.67873953E-021   2.53852217E-020  -1.19999997E+001   9.54742203E-021   6.05628557E-021   1.93970545E-020  -6.99154265E+003  -6.99153505E+003  -1.41556017E+004  -2.08756636E+002  -6.76492341E-003   6.11169413E-003   3.16955481E-002   1.19725611E+001   0.00000000E+000   1.08966351E+015   4.20339345E+012   1.00000000E-014   6.00000000E-013
        61     1.19999997E+001   7.17290084E+003  -3.52836837E-020  -6.29391388E-020  -1.19999997E+001   1.48110411E-020  -1.19855162E-020   5.06102186E-020  -6.99163865E+003  -6.99163141E+003  -1.41554093E+004  -2.08841563E+002  -7.16911830E-003   6.53234725E-003   3.22686821E-002   1.19720651E+001   0.00000000E+000   1.09540050E+015   4.62338903E+012   1.00000000E-014   6.10000000E-013
        62     1.19999997E+001   7.17261921E+003  -1.39622659E-020   7.29187834E-020  -1.19999997E+001   3.06659635E-020   3.74812079E-020   1.38913403E-020  -6.99173494E+003  -6.99172807E+003  -1.41552164E+004  -2.08926752E+002  -7.63071484E-003   7.03389421E-003   3.28435920E-002   1.19715676E+001   0.00000000E+000   1.10122002E+015   5.06240680E+012   1.00000000E-014   6.20000000E-013
        63     1.19999997E+001   7.17233676E+003  -1.66206745E-020  -8.34192209E-020  -1.19999997E+001   1.37397388E-020  -2.51145269E-020   4.40457133E-021  -6.99183152E+003  -6.99182502E+003  -1.41550228E+004  -2.09012194E+002  -8.06667014E-003   7.54564346E-003   3.34202012E-002   1.19710687E+001   0.00000000E+000   1.10712138E+015   5.51811587E+012   1.00000000E-014   6.30000000E-013
        64     1.19999997E+001   7.17205300E+003   1.50302853E-021  -3.64060386E-020  -1.19999997E+001   1.51791158E-020  -2.74438675E-020  -1.52042414E-020  -6.99192860E+003  -6.99192237E+003  -1.41548284E+004  -2.09098033E+002  -8.55635724E-003   8.10480826E-003   3.39994901E-002   1.19705674E+001   0.00000000E+000   1.11310052E+015   5.98851541E+012   1.00000000E-014   6.40000000E-013
        65     1.19999997E+001   7.17176794E+003  -1.44171377E-020   9.29999163E-022  -1.19999997E+001  -2.39209259E-020   3.42624827E-020   8.22468992E-020  -6.99202612E+003  -6.99202016E+003  -1.41546331E+004  -2.09184265E+002  -9.03789511E-003   8.64860245E-003   3.45814329E-002   1.19700638E+001   0.00000000E+000   1.11916576E+015   6.47829568E+012   1.00000000E-014   6.50000000E-013
        66     1.19999997E+001   7.17148147E+003  -2.16443801E-020  -8.07965207E-021  -1.19999997E+001  -9.56874261E-021  -5.97158228E-021  -4.42574715E-020  -6.99212412E+003  -6.99211845E+003  -1.41544368E+004  -2.09270922E+002  -9.52107784E-003   9.16047445E-003   3.51662488E-002   1.19695578E+001   0.00000000E+000   1.12531964E+015   6.98891360E+012   1.00000000E-014   6.60000000E-013
        67     1.19999997E+001   7.17119365E+003   1.86311266E-020  -5.92867642E-020  -1.19999997E+001  -8.03746586E-021  -2.88838235E-020   1.20702195E-020  -6.99222257E+003  -6.99221722E+003  -1.41542396E+004  -2.09357993E+002  -1.00290754E-002   9.71497491E-003   3.57538479E-002   1.19690494E+001   0.00000000E+000   1.13155765E+015   7.51853926E+012   1.00000000E-014   6.70000000E-013
        68     1.19999997E+001   7.17090440E+003  -1.64331423E-020  -5.03904367E-020  -1.19999997E+001  -1.02851637E-020  -4.18857792E-020  -3.16366806E-020  -6.99232154E+003  -6.99231644E+003  -1.41540414E+004  -2.09445497E+002  -1.05233939E-002   1.02529436E-002   3.63443766E-002   1.19685384E+001   0.00000000E+000   1.13787678E+015   8.06625416E+012   1.00000000E-014   6.80000000E-013
