   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      38       1     1.19999997E+001   7.17945548E+003   5.45582414E-002   2.84291871E+003   2.84286415E+003  -6.47528657E-002  -1.68934045E+002  -1.68869292E+002   2.84288193E+003  -4.69803929E-002   2.84292891E+003   3.67857685E-002  -1.68916272E+002  -1.68879487E+002
      39       1     1.19999997E+001   7.17918088E+003   5.45419553E-002   2.84276962E+003   2.84271508E+003  -6.47331251E-002  -1.69001841E+002  -1.68937108E+002   2.84273286E+003  -4.69497885E-002   2.84277981E+003   3.67586188E-002  -1.68984057E+002  -1.68947299E+002
      40       1     1.19999997E+001   7.17890467E+003   5.45260948E-002   2.84261966E+003   2.84256513E+003  -6.47139061E-002  -1.69070034E+002  -1.69005320E+002   2.84258293E+003  -4.69196541E-002   2.84262985E+003   3.67318428E-002  -1.69052239E+002  -1.69015508E+002
      41       1     1.19999997E+001   7.17862685E+003   5.45108205E-002   2.84246881E+003   2.84241430E+003  -6.46954475E-002  -1.69138628E+002  -1.69073932E+002   2.84243211E+003  -4.68904504E-002   2.84247900E+003   3.67058233E-002  -1.69120823E+002  -1.69084117E+002
      42       1     1.19999997E+001   7.17834740E+003   5.44961996E-002   2.84231708E+003   2.84226259E+003  -6.46779356E-002  -1.69207625E+002  -1.69142947E+002   2.84228040E+003  -4.68625038E-002   2.84232727E+003   3.66807679E-002  -1.69189809E+002  -1.69153128E+002
      43       1     1.19999997E+001   7.17806631E+003   5.44822631E-002   2.84216447E+003   2.84210998E+003  -6.46614730E-002  -1.69277026E+002  -1.69212365E+002   2.84212781E+003  -4.68360069E-002   2.84217465E+003   3.66567970E-002  -1.69259201E+002  -1.69222544E+002
      44       1     1.19999997E+001   7.17778359E+003   5.44689337E-002   2.84201096E+003   2.84195649E+003  -6.46460600E-002  -1.69346832E+002  -1.69282186E+002   2.84197433E+003  -4.68109950E-002   2.84202114E+003   3.66338687E-002  -1.69328997E+002  -1.69292363E+002
      45       1     1.19999997E+001   7.17749925E+003   5.44560381E-002   2.84185657E+003   2.84180211E+003  -6.46315875E-002  -1.69417041E+002  -1.69352410E+002   2.84181996E+003  -4.67874648E-002   2.84186674E+003   3.66119154E-002  -1.69399197E+002  -1.69362585E+002
      46       1     1.19999997E+001   7.17716618E+003   5.48448991E-002   2.84167592E+003   2.84162107E+003  -6.46354221E-002  -1.69499489E+002  -1.69434853E+002   2.84163934E+003  -4.63727781E-002   2.84168571E+003   3.65822550E-002  -1.69481226E+002  -1.69444644E+002
      47       1     1.19999997E+001   7.17681610E+003   5.70445782E-002   2.84148692E+003   2.84142987E+003  -6.66320830E-002  -1.69587057E+002  -1.69520425E+002   2.84144841E+003  -4.80887692E-002   2.84149650E+003   3.85012644E-002  -1.69568514E+002  -1.69530012E+002
      48       1     1.19999997E+001   7.17648017E+003   5.63416087E-002   2.84130410E+003   2.84124776E+003  -6.65083669E-002  -1.69669727E+002  -1.69603218E+002   2.84126599E+003  -4.82804629E-002   2.84131427E+003   3.81137046E-002  -1.69651499E+002  -1.69613385E+002
      49       1     1.19999997E+001   7.17621184E+003   5.59033785E-002   2.84115817E+003   2.84110227E+003  -6.61408244E-002  -1.69735786E+002  -1.69669645E+002   2.84112048E+003  -4.79213888E-002   2.84116841E+003   3.76839429E-002  -1.69717566E+002  -1.69679882E+002
      50       1     1.19999997E+001   7.17594165E+003   5.55648077E-002   2.84101128E+003   2.84095572E+003  -6.58627428E-002  -1.69802349E+002  -1.69736486E+002   2.84097392E+003  -4.76623920E-002   2.84102158E+003   3.73644569E-002  -1.69784148E+002  -1.69746784E+002
      51       1     1.19999997E+001   7.17567029E+003   5.52198248E-002   2.84086376E+003   2.84080854E+003  -6.55791843E-002  -1.69869198E+002  -1.69803619E+002   2.84082672E+003  -4.74007162E-002   2.84087412E+003   3.70413568E-002  -1.69851019E+002  -1.69813978E+002
      52       1     1.19999997E+001   7.17539776E+003   5.48599593E-002   2.84071558E+003   2.84066072E+003  -6.52842484E-002  -1.69936330E+002  -1.69871046E+002   2.84067888E+003  -4.71339875E-002   2.84072601E+003   3.67096984E-002  -1.69918180E+002  -1.69881470E+002
      53       1     1.19999997E+001   7.17512408E+003   5.44872549E-002   2.84056678E+003   2.84051229E+003  -6.49814176E-002  -1.70003739E+002  -1.69938758E+002   2.84053041E+003  -4.68651978E-002   2.84057728E+003   3.63710351E-002  -1.69985623E+002  -1.69949252E+002
      54       1     1.19999997E+001   7.17484928E+003   5.41075749E-002   2.84041736E+003   2.84036325E+003  -6.46724470E-002  -1.70071425E+002  -1.70006753E+002   2.84038134E+003  -4.65892851E-002   2.84042793E+003   3.60244130E-002  -1.70053342E+002  -1.70017317E+002
      55       1     1.19999997E+001   7.17457338E+003   5.37174360E-002   2.84026734E+003   2.84021362E+003  -6.43557136E-002  -1.70139377E+002  -1.70075021E+002   2.84023167E+003  -4.63040503E-002   2.84027798E+003   3.56657726E-002  -1.70121325E+002  -1.70085659E+002
      56       1     1.19999997E+001   7.17429656E+003   5.33110681E-002   2.84011680E+003   2.84006349E+003  -6.40158750E-002  -1.70207556E+002  -1.70143540E+002   2.84008154E+003  -4.59629306E-002   2.84012750E+003   3.52581237E-002  -1.70189503E+002  -1.70154245E+002
      57       1     1.19999997E+001   7.17401890E+003   5.28827885E-002   2.83996579E+003   2.83991290E+003  -6.36518820E-002  -1.70275937E+002  -1.70212285E+002   2.83993097E+003  -4.55823701E-002   2.83997655E+003   3.48132766E-002  -1.70257867E+002  -1.70223054E+002
