    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
        26     1.19999997E+001   7.18262133E+003  -2.62977674E-020   1.17031995E-020  -1.19999997E+001   1.23323117E-020   2.58345049E-020  -3.55753838E-021  -6.98830888E+003  -6.98830266E+003  -1.41620678E+004  -2.05901854E+002   1.70869698E-001  -1.72057074E-001   1.24544162E-002   1.19892368E+001   0.00000000E+000   9.02186844E+014   0.00000000E+000   1.00000000E-014   2.60000000E-013
        27     1.19999997E+001   7.18236552E+003   2.99482912E-020  -1.27359345E-020  -1.19999997E+001  -2.30589831E-020   2.61521422E-020  -3.14460982E-020  -6.98839644E+003  -6.98839028E+003  -1.41618926E+004  -2.05979199E+002   1.78229545E-001  -1.79378535E-001   1.29774134E-002   1.19887849E+001   0.00000000E+000   9.07588144E+014   0.00000000E+000   1.00000000E-014   2.70000000E-013
        28     1.19999997E+001   7.18210814E+003  -1.18504583E-020   3.57892100E-020  -1.19999997E+001  -9.08916397E-021  -2.70627027E-020  -2.01593841E-020  -6.98848454E+003  -6.98847845E+003  -1.41617164E+004  -2.06057023E+002   1.85635450E-001  -1.86746144E-001   1.35036500E-002   1.19883302E+001   0.00000000E+000   9.12990622E+014   0.00000000E+000   1.00000000E-014   2.80000000E-013
        29     1.19999997E+001   7.18184917E+003  -5.97081714E-021  -2.08444551E-020  -1.19999997E+001   1.41006377E-020   3.74812079E-020  -3.39660212E-020  -6.98857319E+003  -6.98856716E+003  -1.41615390E+004  -2.06135326E+002   1.93087427E-001  -1.94159915E-001   1.40331272E-002   1.19878727E+001   0.00000000E+000   9.18394272E+014   0.00000000E+000   1.00000000E-014   2.90000000E-013
        30     1.19999997E+001   7.18158863E+003  -1.98575666E-020  -2.03924009E-020  -1.19999997E+001   2.61347715E-021   2.40345599E-020  -2.99426147E-020  -6.98866238E+003  -6.98865642E+003  -1.41613606E+004  -2.06214108E+002   2.00585487E-001  -2.01619863E-001   1.45658458E-002   1.19874125E+001   0.00000000E+000   9.23799084E+014   0.00000000E+000   1.00000000E-014   3.00000000E-013
        31     1.19999997E+001   7.18132650E+003   3.21691781E-020   2.80853461E-020  -1.19999997E+001   1.35273809E-020  -7.00919764E-021  -2.91379334E-020  -6.98875211E+003  -6.98874622E+003  -1.41611810E+004  -2.06293370E+002   2.08129641E-001  -2.09126011E-001   1.51018078E-002   1.19869494E+001   0.00000000E+000   9.29205057E+014   0.00000000E+000   1.00000000E-014   3.10000000E-013
        32     1.19999997E+001   7.18106278E+003   2.59231373E-020   1.81796101E-020  -1.19999997E+001   7.88096329E-023  -3.05778894E-020  -5.40830537E-020  -6.98884238E+003  -6.98883656E+003  -1.41610004E+004  -2.06373112E+002   2.15719902E-001  -2.16678377E-001   1.56410158E-002   1.19864835E+001   0.00000000E+000   9.34612198E+014   0.00000000E+000   1.00000000E-014   3.20000000E-013
        33     1.19999997E+001   7.18079748E+003  -5.65502026E-021   1.15504192E-020  -1.19999997E+001  -8.76741139E-021  -5.75135371E-020  -1.00373404E-020  -6.98893320E+003  -6.98892745E+003  -1.41608187E+004  -2.06453335E+002   2.23356292E-001  -2.24276986E-001   1.61834732E-002   1.19860148E+001   0.00000000E+000   9.40020521E+014   0.00000000E+000   1.00000000E-014   3.30000000E-013
        34     1.19999997E+001   7.18053059E+003   5.35231351E-021  -2.08901155E-020  -1.19999997E+001   1.21643113E-021   5.23889878E-020  -1.48230766E-021  -6.98902456E+003  -6.98901888E+003  -1.41606359E+004  -2.06534038E+002   2.31038818E-001  -2.31921859E-001   1.67291837E-002   1.19855434E+001   0.00000000E+000   9.45430045E+014   0.00000000E+000   1.00000000E-014   3.40000000E-013
        35     1.19999997E+001   7.18026211E+003   2.21624434E-020  -2.70217572E-020  -1.19999997E+001   2.15689206E-020   4.28598671E-020  -1.81688567E-020  -6.98911647E+003  -6.98911086E+003  -1.41604520E+004  -2.06615223E+002   2.38767480E-001  -2.39613002E-001   1.72781506E-002   1.19850691E+001   0.00000000E+000   9.50840785E+014   0.00000000E+000   1.00000000E-014   3.50000000E-013
        36     1.19999997E+001   7.17999205E+003  -1.33899034E-020  -8.63783355E-021  -1.19999997E+001   1.80308623E-020   7.87740641E-021  -2.76556257E-020  -6.98920892E+003  -6.98920339E+003  -1.41602671E+004  -2.06696891E+002   2.46542274E-001  -2.47350417E-001   1.78303770E-002   1.19845920E+001   0.00000000E+000   9.56252753E+014   0.00000000E+000   1.00000000E-014   3.60000000E-013
        37     1.19999997E+001   7.17972038E+003   9.58421089E-021  -5.82690839E-021  -1.19999997E+001   7.68878855E-021   4.28175155E-020  -5.59041745E-021  -6.98930192E+003  -6.98929646E+003  -1.41600810E+004  -2.06779040E+002   2.54363209E-001  -2.55134112E-001   1.83858671E-002   1.19841121E+001   0.00000000E+000   9.61665973E+014   0.00000000E+000   1.00000000E-014   3.70000000E-013
        38     1.19999997E+001   7.17944713E+003  -1.91482799E-020   7.01540149E-021  -1.19999997E+001   1.24027047E-020   1.39760436E-021  -6.18334051E-021  -6.98939547E+003  -6.98939008E+003  -1.41598938E+004  -2.06861674E+002   2.62230289E-001  -2.62964091E-001   1.89446262E-002   1.19836294E+001   0.00000000E+000   9.67080480E+014   0.00000000E+000   1.00000000E-014   3.80000000E-013
        39     1.19999997E+001   7.17917227E+003  -1.83131170E-020  -5.59924347E-020  -1.19999997E+001   8.66049830E-021  -2.13452303E-020  -4.62056473E-020  -6.98948956E+003  -6.98948425E+003  -1.41597056E+004  -2.06944791E+002   2.70143567E-001  -2.70840535E-001   1.95066617E-002   1.19831438E+001   0.00000000E+000   9.72496316E+014   0.00000000E+000   1.00000000E-014   3.90000000E-013
