    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
        26     1.19999997E+001   7.18260087E+003   7.43767720E-021  -2.43088116E-020  -1.19999997E+001   1.21150501E-020   1.30104261E-019   8.67361738E-020  -6.98822036E+003  -6.98840519E+003  -1.41620538E+004  -2.05908037E+002  -2.12071392E-001  -2.05772219E-001   1.25019704E-002   1.19892006E+001   0.00000000E+000   9.02619418E+014   0.00000000E+000   1.00000000E-014   2.60000000E-013
        27     1.19999997E+001   7.18234418E+003  -1.49527061E-020   2.62048750E-021  -1.19999997E+001  -3.40712334E-021   4.33680869E-020  -1.73472348E-019  -6.98830421E+003  -6.98849713E+003  -1.41618780E+004  -2.05985650E+002  -2.20801743E-001  -2.14498165E-001   1.30270152E-002   1.19887472E+001   0.00000000E+000   9.08036812E+014   0.00000000E+000   1.00000000E-014   2.70000000E-013
        28     1.19999997E+001   7.18208591E+003   1.30421567E-021   1.56450873E-020  -1.19999997E+001   1.31154139E-021  -4.33680869E-020  -1.30104261E-019  -6.98838858E+003  -6.98858964E+003  -1.41617011E+004  -2.06063742E+002  -2.29586167E-001  -2.23277874E-001   1.35553077E-002   1.19882909E+001   0.00000000E+000   9.13455278E+014   0.00000000E+000   1.00000000E-014   2.80000000E-013
        29     1.19999997E+001   7.18182605E+003  -2.60258938E-021  -1.70914126E-020  -1.19999997E+001   9.94731216E-021   2.60208521E-019   4.33680869E-020  -6.98847347E+003  -6.98868272E+003  -1.41615232E+004  -2.06142314E+002  -2.38424640E-001  -2.32111400E-001   1.40868476E-002   1.19878319E+001   0.00000000E+000   9.18874797E+014   0.00000000E+000   1.00000000E-014   2.90000000E-013
        30     1.19999997E+001   7.18156461E+003  -1.44903018E-020   1.53970779E-020  -1.19999997E+001   4.86938221E-021  -1.30104261E-019  -4.33680869E-020  -6.98855888E+003  -6.98877637E+003  -1.41613441E+004  -2.06221366E+002  -2.47317129E-001  -2.40998783E-001   1.46216347E-002   1.19873700E+001   0.00000000E+000   9.24295349E+014   0.00000000E+000   1.00000000E-014   3.00000000E-013
        31     1.19999997E+001   7.18130159E+003   6.30232786E-021   2.18674604E-020  -1.19999997E+001   6.36650157E-021   1.73472348E-019   0.00000000E+000  -6.98864480E+003  -6.98887059E+003  -1.41611640E+004  -2.06300899E+002  -2.56263608E-001  -2.49940074E-001   1.51596695E-002   1.19869054E+001   0.00000000E+000   9.29716921E+014   0.00000000E+000   1.00000000E-014   3.10000000E-013
        32     1.19999997E+001   7.18103698E+003  -5.18095271E-021   4.68796340E-021  -1.19999997E+001   9.41268465E-021   4.33680869E-020   4.33680869E-020  -6.98873125E+003  -6.98896538E+003  -1.41609827E+004  -2.06380911E+002  -2.65264064E-001  -2.58935331E-001   1.57009524E-002   1.19864379E+001   0.00000000E+000   9.35139500E+014   0.00000000E+000   1.00000000E-014   3.20000000E-013
        33     1.19999997E+001   7.18077078E+003  -9.31689713E-021   1.25010772E-020  -1.19999997E+001   1.52861323E-020  -4.33680869E-020   8.67361738E-020  -6.98881821E+003  -6.98906073E+003  -1.41608004E+004  -2.06461404E+002  -2.74318488E-001  -2.67984623E-001   1.62454847E-002   1.19859677E+001   0.00000000E+000   9.40563083E+014   0.00000000E+000   1.00000000E-014   3.30000000E-013
        34     1.19999997E+001   7.18050300E+003   1.66052062E-020  -2.66101315E-020  -1.19999997E+001   1.57764100E-020  -8.67361738E-020   0.00000000E+000  -6.98890569E+003  -6.98915666E+003  -1.41606170E+004  -2.06542377E+002  -2.83426862E-001  -2.77088004E-001   1.67932668E-002   1.19854946E+001   0.00000000E+000   9.45987659E+014   0.00000000E+000   1.00000000E-014   3.40000000E-013
        35     1.19999997E+001   7.18023364E+003  -8.99559692E-021   1.72393745E-020  -1.19999997E+001   1.30001191E-020  -4.33680869E-020   1.30104261E-019  -6.98899368E+003  -6.98925316E+003  -1.41604325E+004  -2.06623831E+002  -2.92589129E-001  -2.86245485E-001   1.73442986E-002   1.19850188E+001   0.00000000E+000   9.51413211E+014   0.00000000E+000   1.00000000E-014   3.50000000E-013
