   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      37       1     1.19999997E+001   7.17972154E+003   3.63822960E-001   2.84323635E+003   2.84287253E+003  -2.27295554E-001  -1.69004411E+002  -1.68777115E+002   2.84296271E+003  -1.37121008E-001   2.84309983E+003   2.73648414E-001  -1.68914236E+002  -1.68640588E+002
      38       1     1.19999997E+001   7.17944829E+003   3.73208768E-001   2.84309326E+003   2.84272005E+003  -2.32210707E-001  -1.69076009E+002  -1.68843798E+002   2.84281244E+003  -1.39823741E-001   2.84295226E+003   2.80821802E-001  -1.68983622E+002  -1.68702800E+002
      39       1     1.19999997E+001   7.17917343E+003   3.82650063E-001   2.84294933E+003   2.84256668E+003  -2.37154785E-001  -1.69148026E+002  -1.68910871E+002   2.84266129E+003  -1.42542162E-001   2.84280384E+003   2.88037440E-001  -1.69053413E+002  -1.68765376E+002
      40       1     1.19999997E+001   7.17889697E+003   3.92147587E-001   2.84280456E+003   2.84241241E+003  -2.42128358E-001  -1.69220467E+002  -1.68978339E+002   2.84250926E+003  -1.45276656E-001   2.84265454E+003   2.95295885E-001  -1.69123615E+002  -1.68828319E+002
      41       1     1.19999997E+001   7.17861888E+003   4.01702051E-001   2.84265893E+003   2.84225723E+003  -2.47131963E-001  -1.69293335E+002  -1.69046203E+002   2.84235633E+003  -1.48027540E-001   2.84250436E+003   3.02597628E-001  -1.69194230E+002  -1.68891633E+002
      42       1     1.19999997E+001   7.17833916E+003   4.11313908E-001   2.84251245E+003   2.84210113E+003  -2.52165908E-001  -1.69366632E+002  -1.69114466E+002   2.84220250E+003  -1.50794986E-001   2.84235330E+003   3.09942986E-001  -1.69265261E+002  -1.68955318E+002
      43       1     1.19999997E+001   7.17805780E+003   4.20983429E-001   2.84236510E+003   2.84194412E+003  -2.57230413E-001  -1.69440361E+002  -1.69183130E+002   2.84204777E+003  -1.53579156E-001   2.84220135E+003   3.17332173E-001  -1.69336709E+002  -1.69019377E+002
      44       1     1.19999997E+001   7.17777480E+003   4.30710622E-001   2.84221690E+003   2.84178619E+003  -2.62325522E-001  -1.69514520E+002  -1.69252194E+002   2.84189214E+003  -1.56380128E-001   2.84204852E+003   3.24765228E-001  -1.69408574E+002  -1.69083809E+002
      45       1     1.19999997E+001   7.17749017E+003   4.40495404E-001   2.84206784E+003   2.84162735E+003  -2.67451226E-001  -1.69589108E+002  -1.69321657E+002   2.84173560E+003  -1.59197960E-001   2.84189480E+003   3.32242138E-001  -1.69480855E+002  -1.69148613E+002
      46       1     1.19999997E+001   7.17716951E+003   4.52511133E-001   2.84190034E+003   2.84144783E+003  -2.72608332E-001  -1.69673707E+002  -1.69401099E+002   2.84156057E+003  -1.59861800E-001   2.84172043E+003   3.39764602E-001  -1.69560961E+002  -1.69221196E+002
      47       1     1.19999997E+001   7.17678981E+003   4.66273107E-001   2.84170164E+003   2.84123537E+003  -2.82208010E-001  -1.69773765E+002  -1.69491557E+002   2.84134994E+003  -1.67643369E-001   2.84151758E+003   3.51708466E-001  -1.69659200E+002  -1.69307491E+002
      48       1     1.19999997E+001   7.17647884E+003   4.76203791E-001   2.84153835E+003   2.84106214E+003  -2.86933702E-001  -1.69854934E+002  -1.69568001E+002   2.84117955E+003  -1.69522409E-001   2.84134908E+003   3.58792497E-001  -1.69737523E+002  -1.69378731E+002
      49       1     1.19999997E+001   7.17620867E+003   4.85446571E-001   2.84139689E+003   2.84091145E+003  -2.91704181E-001  -1.69925655E+002  -1.69633950E+002   2.84103086E+003  -1.72288496E-001   2.84120315E+003   3.66030886E-001  -1.69806239E+002  -1.69440208E+002
      50       1     1.19999997E+001   7.17593691E+003   4.94685342E-001   2.84125455E+003   2.84075987E+003  -2.96476300E-001  -1.69996781E+002  -1.69700305E+002   2.84088133E+003  -1.75009383E-001   2.84105634E+003   3.73218425E-001  -1.69875314E+002  -1.69502096E+002
      51       1     1.19999997E+001   7.17566397E+003   5.03964503E-001   2.84111159E+003   2.84060763E+003  -3.01264969E-001  -1.70068217E+002  -1.69766952E+002   2.84073116E+003  -1.77737168E-001   2.84090889E+003   3.80436702E-001  -1.69944690E+002  -1.69564253E+002
      52       1     1.19999997E+001   7.17538984E+003   5.13278436E-001   2.84096801E+003   2.84045473E+003  -3.06075274E-001  -1.70139961E+002  -1.69833886E+002   2.84058032E+003  -1.80486522E-001   2.84076081E+003   3.87689684E-001  -1.70014372E+002  -1.69626682E+002
      53       1     1.19999997E+001   7.17511455E+003   5.22630789E-001   2.84082382E+003   2.84030118E+003  -3.10900742E-001  -1.70212009E+002  -1.69901108E+002   2.84042884E+003  -1.83246861E-001   2.84061209E+003   3.94976908E-001  -1.70084355E+002  -1.69689378E+002
      54       1     1.19999997E+001   7.17483809E+003   5.32022920E-001   2.84067901E+003   2.84014699E+003  -3.15746584E-001  -1.70284362E+002  -1.69968615E+002   2.84027672E+003  -1.86016442E-001   2.84046273E+003   4.02292777E-001  -1.70154632E+002  -1.69752339E+002
      55       1     1.19999997E+001   7.17456053E+003   5.41456490E-001   2.84053363E+003   2.83999217E+003  -3.20616081E-001  -1.70357005E+002  -1.70036389E+002   2.84012399E+003  -1.88802512E-001   2.84031279E+003   4.09642920E-001  -1.70225191E+002  -1.69815548E+002
      56       1     1.19999997E+001   7.17428206E+003   5.50920090E-001   2.84038776E+003   2.83983684E+003  -3.25512299E-001  -1.70429888E+002  -1.70104376E+002   2.83997073E+003  -1.91622120E-001   2.84016236E+003   4.17029911E-001  -1.70295998E+002  -1.69878968E+002
      57       1     1.19999997E+001   7.17400272E+003   5.60423404E-001   2.84024145E+003   2.83968102E+003  -3.30435149E-001  -1.70503005E+002  -1.70172569E+002   2.83981699E+003  -1.94464933E-001   2.84001146E+003   4.24453188E-001  -1.70367034E+002  -1.69942581E+002
      58       1     1.19999997E+001   7.17372262E+003   5.69965829E-001   2.84009474E+003   2.83952477E+003  -3.35400951E-001  -1.70576328E+002  -1.70240927E+002   2.83966282E+003  -1.97352259E-001   2.83986017E+003   4.31917138E-001  -1.70438280E+002  -1.70006362E+002
      59       1     1.19999997E+001   7.17344179E+003   5.79520207E-001   2.83994764E+003   2.83936812E+003  -3.40365250E-001  -1.70649835E+002  -1.70309469E+002   2.83950824E+003  -2.00249369E-001   2.83970849E+003   4.39404326E-001  -1.70509719E+002  -1.70070315E+002
      60       1     1.19999997E+001   7.17316029E+003   5.89098598E-001   2.83980020E+003   2.83921110E+003  -3.45326601E-001  -1.70723511E+002  -1.70378184E+002   2.83935328E+003  -2.03145587E-001   2.83955643E+003   4.46917584E-001  -1.70581330E+002  -1.70134412E+002
      61       1     1.19999997E+001   7.17287804E+003   5.98692265E-001   2.83965236E+003   2.83905367E+003  -3.50279429E-001  -1.70797373E+002  -1.70447093E+002   2.83919791E+003  -2.06040277E-001   2.83940395E+003   4.54453114E-001  -1.70653134E+002  -1.70198681E+002
      62       1     1.19999997E+001   7.17259494E+003   6.08315906E-001   2.83950408E+003   2.83889577E+003  -3.55237258E-001  -1.70871457E+002  -1.70516220E+002   2.83904208E+003  -2.08929095E-001   2.83925100E+003   4.62007742E-001  -1.70725149E+002  -1.70263141E+002
      63       1     1.19999997E+001   7.17231102E+003   6.17974443E-001   2.83935536E+003   2.83873739E+003  -3.60208555E-001  -1.70945768E+002  -1.70585559E+002   2.83888581E+003  -2.11793798E-001   2.83909760E+003   4.69559685E-001  -1.70797353E+002  -1.70327793E+002
      64       1     1.19999997E+001   7.17202601E+003   6.27675934E-001   2.83920608E+003   2.83857840E+003  -3.65190965E-001  -1.71020366E+002  -1.70655175E+002   2.83872894E+003  -2.14655723E-001   2.83894359E+003   4.77140692E-001  -1.70869830E+002  -1.70392690E+002
      65       1     1.19999997E+001   7.17173973E+003   6.37427013E-001   2.83905614E+003   2.83841871E+003  -3.70173459E-001  -1.71095292E+002  -1.70725118E+002   2.83857138E+003  -2.17502233E-001   2.83878889E+003   4.84755786E-001  -1.70942621E+002  -1.70457865E+002
      66       1     1.19999997E+001   7.17145199E+003   6.47189453E-001   2.83890542E+003   2.83825823E+003  -3.75126904E-001  -1.71170574E+002  -1.70795447E+002   2.83841302E+003  -2.20339683E-001   2.83863336E+003   4.92402231E-001  -1.71015787E+002  -1.70523385E+002
      67       1     1.19999997E+001   7.17116284E+003   6.56999986E-001   2.83875396E+003   2.83809696E+003  -3.80108273E-001  -1.71246226E+002  -1.70866118E+002   2.83825388E+003  -2.23187000E-001   2.83847707E+003   5.00078714E-001  -1.71089305E+002  -1.70589226E+002
      68       1     1.19999997E+001   7.17087225E+003   6.66825009E-001   2.83860173E+003   2.83793490E+003  -3.85090317E-001  -1.71322238E+002  -1.70937148E+002   2.83809395E+003  -2.26041444E-001   2.83831999E+003   5.07776136E-001  -1.71163189E+002  -1.70655413E+002
      69       1     1.19999997E+001   7.17058023E+003   6.76706336E-001   2.83844876E+003   2.83777205E+003  -3.90103305E-001  -1.71398620E+002  -1.71008517E+002   2.83793321E+003  -2.28943266E-001   2.83816216E+003   5.15546297E-001  -1.71237460E+002  -1.70721914E+002
      70       1     1.19999997E+001   7.17028673E+003   6.86671379E-001   2.83829502E+003   2.83760835E+003  -3.95161484E-001  -1.71475410E+002  -1.71080248E+002   2.83777165E+003  -2.31866173E-001   2.83800351E+003   5.23376068E-001  -1.71312114E+002  -1.70788738E+002
