   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      65       1     1.19700562E+001   1.00002269E+000   3.45902766E-002   1.19999997E+001   0.00000000E+000   8.32838528E-021  -3.53947275E-020  -1.19999997E+001   1.47873010E-021  -3.71847464E-020  -5.57347679E-020   9.98882566E-003   9.98187896E-003  -1.99707046E-002   9.98535235E-003  -3.39721842E-006  -3.20527871E-006
      66       1     1.19695533E+001   1.00002269E+000   3.51713924E-002   1.19999997E+001   0.00000000E+000   1.09463292E-020   1.11628024E-020  -1.19999997E+001   2.47132823E-020  -7.87740641E-021   2.98155597E-020   1.01576167E-002   1.01485951E-002  -2.03062118E-002   1.01531059E-002  -2.58295255E-006  -4.12908425E-006
      67       1     1.19690480E+001   1.00002269E+000   3.57553434E-002   1.19999997E+001   0.00000000E+000   1.32956876E-020   1.66755476E-020  -1.19999997E+001   1.11454729E-020   1.52465931E-021  -9.65617560E-021   1.03272625E-002   1.03160932E-002  -2.06433557E-002   1.03216779E-002  -1.73456830E-006  -5.05095272E-006
      68       1     1.19685404E+001   1.00002269E+000   3.63419818E-002   1.19999997E+001   0.00000000E+000   4.90178959E-021   3.45437241E-020  -1.19999997E+001  -3.16711327E-020   1.32137140E-020  -1.59242194E-020   1.04976768E-002   1.04843743E-002  -2.09820510E-002   1.04910255E-002  -9.35963357E-007  -5.95919537E-006
      69       1     1.19680300E+001   1.00002269E+000   3.69319268E-002   1.19999997E+001   0.00000000E+000  -8.56640650E-021  -2.34193857E-020  -1.19999997E+001  -1.57182928E-020   2.64274280E-020   4.08269881E-020   1.06689561E-002   1.06536993E-002  -2.13226554E-002   1.06613277E-002  -9.20413879E-008  -6.91170540E-006
      70       1     1.19675166E+001   1.00002269E+000   3.75252810E-002   1.19999997E+001   0.00000000E+000   2.19269037E-020  -3.95307960E-020  -1.19999997E+001  -5.65293163E-021  -3.82858892E-020  -3.64224167E-020   1.08411318E-002   1.08240962E-002  -2.16652280E-002   1.08326140E-002   7.06151542E-007  -7.92360181E-006
      71       1     1.19669991E+001   1.00002269E+000   3.81234272E-002   1.19999997E+001   0.00000000E+000   1.10540281E-020   3.04433898E-020  -1.19999997E+001  -3.24147267E-021  -7.62329653E-021   3.08319993E-020   1.10150248E-002   1.09955422E-002  -2.20105669E-002   1.10052834E-002   1.50637044E-006  -8.91523202E-006
      72       1     1.19664531E+001   1.00002269E+000   3.87543878E-002   1.19999997E+001   0.00000000E+000  -2.57163421E-020  -4.76365043E-020  -1.19999997E+001  -2.03193816E-020   1.05032085E-020  -1.30443074E-020   1.11970468E-002   1.11778058E-002  -2.23748525E-002   1.11874262E-002   5.47635200E-007  -8.50971024E-006
      73       1     1.19659141E+001   1.00002269E+000   3.93774265E-002   1.19999997E+001   0.00000000E+000   2.11401722E-020   3.41494071E-020  -1.19999997E+001  -3.09966496E-020  -4.25210540E-020   4.08269881E-020   1.13771924E-002   1.13573712E-002  -2.27345636E-002   1.13672818E-002   9.52632843E-007  -9.43314729E-006
      74       1     1.19653746E+001   1.00002269E+000   4.00009307E-002   1.19999997E+001   0.00000000E+000  -7.01598052E-021   1.37500579E-020  -1.19999997E+001   3.93544618E-020   4.23516474E-020   4.03187683E-020   1.15556499E-002   1.15388940E-002  -2.30945439E-002   1.15472719E-002   1.43569794E-006  -1.12067147E-005
