   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      68       1     1.19681049E+001   1.00002269E+000   3.69372670E-002   1.19999997E+001   0.00000000E+000   1.71349637E-020   2.09616963E-020  -1.19999997E+001  -3.30702544E-021   0.00000000E+000   1.30104261E-019   1.01761883E-002   1.10966610E-002  -2.12728493E-002   1.06364196E-002   1.00924884E-003   1.01134625E-003
      69       1     1.19675751E+001   1.00002269E+000   3.75513545E-002   1.19999997E+001   0.00000000E+000  -1.83058921E-020   3.00566415E-022  -1.19999997E+001   3.80558916E-021   2.16840434E-019   4.33680869E-020   1.03450663E-002   1.12813404E-002  -2.16264067E-002   1.08131982E-002   1.02745398E-003   1.02886912E-003
      70       1     1.19670411E+001   1.00002269E+000   3.81701421E-002   1.19999997E+001   0.00000000E+000  -7.05444264E-021   1.55816012E-020  -1.19999997E+001   1.07134727E-020   4.33680869E-020   4.33680869E-020   1.05162202E-002   1.14665012E-002  -2.19827214E-002   1.09913555E-002   1.04436156E-003   1.04731831E-003
      71       1     1.19664969E+001   1.00002269E+000   3.88007117E-002   1.19999997E+001   0.00000000E+000   8.34245123E-021   1.17811302E-020  -1.19999997E+001   1.27408820E-020  -3.46944695E-019   0.00000000E+000   1.06893711E-002   1.16564931E-002  -2.23458642E-002   1.11729268E-002   1.06040632E-003   1.06579622E-003
      72       1     1.19659484E+001   1.00002269E+000   3.94365979E-002   1.19999997E+001   0.00000000E+000   1.37867789E-020  -2.10922603E-020  -1.19999997E+001  -1.13501278E-020   1.73472348E-019  -1.30104261E-019   1.08649879E-002   1.18468709E-002  -2.27118587E-002   1.13559240E-002   1.08015095E-003   1.08578493E-003
      73       1     1.19654012E+001   1.00002269E+000   4.00708755E-002   1.19999997E+001   0.00000000E+000   1.02289930E-020   8.07304135E-020  -1.19999997E+001  -1.46331249E-020   4.33680869E-020  -8.67361738E-020   1.10393962E-002   1.20376527E-002  -2.30770489E-002   1.15385190E-002   1.09887736E-003   1.10376680E-003
      74       1     1.19648588E+001   1.00002269E+000   4.06995015E-002   1.19999997E+001   0.00000000E+000   2.08827691E-021   5.88025689E-020  -1.19999997E+001  -5.61403863E-021  -8.67361738E-020  -3.03576608E-019   1.12127133E-002   1.22262783E-002  -2.34389916E-002   1.17194903E-002   1.11694220E-003   1.12215160E-003
      75       1     1.19643139E+001   1.00002269E+000   4.13310825E-002   1.19999997E+001   0.00000000E+000  -1.60154626E-020   3.64984398E-020  -1.19999997E+001  -1.34401392E-020   1.30104261E-019   1.73472348E-019   1.13873328E-002   1.24152863E-002  -2.38026191E-002   1.19013040E-002   1.13459006E-003   1.14168725E-003
      76       1     1.19637648E+001   1.00002269E+000   4.19675798E-002   1.19999997E+001   0.00000000E+000  -5.44721181E-021   3.64458815E-021  -1.19999997E+001   9.79522207E-021  -4.33680869E-020  -4.33680869E-020   1.15623298E-002   1.26067423E-002  -2.41690721E-002   1.20845304E-002   1.15312219E-003   1.16029498E-003
      77       1     1.19632144E+001   1.00002269E+000   4.26056143E-002   1.19999997E+001   0.00000000E+000  -1.73946570E-020   1.96184235E-020  -1.19999997E+001  -1.97674711E-020   4.77048956E-019  -4.77048956E-019   1.17378979E-002   1.27985102E-002  -2.45364081E-002   1.22681983E-002   1.17175582E-003   1.17899841E-003
      78       1     1.19626539E+001   1.00002269E+000   4.32555603E-002   1.19999997E+001   0.00000000E+000   2.85986737E-020   3.55178753E-020  -1.19999997E+001  -6.51080064E-021  -1.30104261E-019   8.67361738E-020   1.19163978E-002   1.29940848E-002  -2.49104825E-002   1.24552354E-002   1.19113494E-003   1.20000627E-003
      79       1     1.19620923E+001   1.00002269E+000   4.39067202E-002   1.19999997E+001   0.00000000E+000   3.87195979E-020   5.49226640E-020  -1.19999997E+001  -1.77302028E-020   1.73472348E-019  -1.30104261E-019   1.20935989E-002   1.31916736E-002  -2.52852725E-002   1.26426303E-002   1.21077722E-003   1.21973348E-003
      80       1     1.19615291E+001   1.00002269E+000   4.45596026E-002   1.19999997E+001   0.00000000E+000   5.61032924E-021   1.50364414E-020  -1.19999997E+001   1.71133096E-020   1.30104261E-019  -2.16840434E-019   1.22733075E-002   1.33877995E-002  -2.56611069E-002   1.28305474E-002   1.23082592E-003   1.23895871E-003
      81       1     1.19609673E+001   1.00002269E+000   4.52109260E-002   1.19999997E+001   0.00000000E+000  -2.49398651E-020  -6.23588736E-020  -1.19999997E+001  -1.73099537E-020  -5.20417043E-019  -3.90312782E-019   1.24530343E-002   1.35830683E-002  -2.60361024E-002   1.30180452E-002   1.24995861E-003   1.25797304E-003
      82       1     1.19604022E+001   1.00002269E+000   4.58660377E-002   1.19999997E+001   0.00000000E+000  -5.63532819E-021  -9.61772721E-021  -1.19999997E+001   9.78430588E-022   5.20417043E-019   4.77048956E-019   1.26339153E-002   1.37793525E-002  -2.64132676E-002   1.32066277E-002   1.26914305E-003   1.27744243E-003
      83       1     1.19598348E+001   1.00002269E+000   4.65237098E-002   1.19999997E+001   0.00000000E+000   9.71925345E-021  -2.37682013E-020  -1.19999997E+001  -1.49569454E-020  -8.67361738E-020  -2.16840434E-019   1.28154577E-002   1.39764575E-002  -2.67919149E-002   1.33959513E-002   1.28854067E-003   1.29666231E-003
      84       1     1.19592631E+001   1.00002269E+000   4.71865393E-002   1.19999997E+001   0.00000000E+000   1.12383576E-020   8.16244697E-020  -1.19999997E+001  -8.26901956E-021   4.33680869E-020   2.60208521E-019   1.29982560E-002   1.41752641E-002  -2.71735199E-002   1.35867537E-002   1.30821085E-003   1.31607847E-003
