   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      87       1     1.19999997E+001   7.16461808E+003  -1.48276202E-001   2.83510436E+003   2.83525264E+003   6.14305563E-001  -1.72152282E+002  -1.72766587E+002   2.83436595E+003  -2.72380623E-001   2.83463833E+003   7.38409984E-001  -1.73038968E+002  -1.72300558E+002
      88       1     1.19999997E+001   7.16428636E+003  -1.51842101E-001   2.83492753E+003   2.83507937E+003   6.24903058E-001  -1.72227299E+002  -1.72852202E+002   2.83417907E+003  -2.75399792E-001   2.83445447E+003   7.48460749E-001  -1.73127602E+002  -1.72379141E+002
      89       1     1.19999997E+001   7.16394782E+003  -1.54920609E-001   2.83474749E+003   2.83490241E+003   6.36699820E-001  -1.72303979E+002  -1.72940679E+002   2.83398910E+003  -2.76613285E-001   2.83426571E+003   7.58392496E-001  -1.73217292E+002  -1.72458900E+002
      90       1     1.19999997E+001   7.16361121E+003  -1.57723327E-001   2.83456789E+003   2.83472562E+003   6.45827639E-001  -1.72381066E+002  -1.73026894E+002   2.83379989E+003  -2.79903022E-001   2.83407979E+003   7.68007335E-001  -1.73306797E+002  -1.72538789E+002
      91       1     1.19999997E+001   7.16326986E+003  -1.61871308E-001   2.83438515E+003   2.83454702E+003   6.55922896E-001  -1.72458543E+002  -1.73114466E+002   2.83360805E+003  -2.83054408E-001   2.83389110E+003   7.77105996E-001  -1.73397520E+002  -1.72620414E+002
      92       1     1.19999997E+001   7.16292859E+003  -1.64432117E-001   2.83420352E+003   2.83436795E+003   6.64879013E-001  -1.72536528E+002  -1.73201407E+002   2.83341511E+003  -2.87955550E-001   2.83370307E+003   7.88402446E-001  -1.73489362E+002  -1.72700960E+002
      93       1     1.19999997E+001   7.16258635E+003  -1.67567602E-001   2.83402112E+003   2.83418869E+003   6.75039145E-001  -1.72614413E+002  -1.73289452E+002   2.83322241E+003  -2.91235424E-001   2.83351365E+003   7.98706967E-001  -1.73580687E+002  -1.72781980E+002
      94       1     1.19999997E+001   7.16224263E+003  -1.70784409E-001   2.83383779E+003   2.83400857E+003   6.85092709E-001  -1.72692706E+002  -1.73377799E+002   2.83302899E+003  -2.94491730E-001   2.83332348E+003   8.08800030E-001  -1.73672290E+002  -1.72863490E+002
      95       1     1.19999997E+001   7.16189335E+003  -1.74479944E-001   2.83365108E+003   2.83382556E+003   6.95113753E-001  -1.72772254E+002  -1.73467367E+002   2.83283263E+003  -2.97812326E-001   2.83313044E+003   8.18446136E-001  -1.73765180E+002  -1.72946734E+002
      96       1     1.19999997E+001   7.16154214E+003  -1.77465495E-001   2.83346361E+003   2.83364107E+003   7.04584627E-001  -1.72852696E+002  -1.73557281E+002   2.83263521E+003  -3.01273218E-001   2.83293649E+003   8.28392349E-001  -1.73858554E+002  -1.73030162E+002
