   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      39       1     1.19830144E+001   1.00002269E+000   1.96481337E-002   1.19999997E+001   0.00000000E+000  -9.16791846E-022  -1.63150067E-020  -1.19999997E+001  -1.23462271E-021   7.52918175E-020  -7.52918175E-020   5.21645941E-003   6.10978893E-003  -1.13262483E-002   5.66311931E-003   3.13762013E-004   3.18197652E-004
      40       1     1.19825216E+001   1.00002269E+000   2.02183905E-002   1.19999997E+001   0.00000000E+000  -2.03289150E-020   1.39014003E-020  -1.19999997E+001   9.27726678E-021   0.00000000E+000   0.00000000E+000   5.36786982E-003   6.28710600E-003  -1.16549758E-002   5.82748290E-003   3.22862572E-004   3.27432947E-004
      41       1     1.19820258E+001   1.00002269E+000   2.07920302E-002   1.19999997E+001   0.00000000E+000  -1.02776877E-020  -1.38070231E-020  -1.19999997E+001  -3.81202272E-021   1.50583635E-019  -3.76459088E-020   5.52017898E-003   6.46547450E-003  -1.19856535E-002   5.99282159E-003   3.32014172E-004   3.36723257E-004
      42       1     1.19815271E+001   1.00002269E+000   2.13690376E-002   1.19999997E+001   0.00000000E+000   1.50260127E-020   1.26077997E-020  -1.19999997E+001  -6.81168335E-021   7.52918175E-020   3.76459088E-020   5.67338301E-003   6.64488957E-003  -1.23182726E-002   6.15913100E-003   3.41216933E-004   3.46068619E-004
      43       1     1.19810256E+001   1.00002269E+000   2.19493914E-002   1.19999997E+001   0.00000000E+000  -1.18244374E-021   3.55937900E-020  -1.19999997E+001  -4.76105002E-021   3.76459088E-020   0.00000000E+000   5.82747653E-003   6.82534422E-003  -1.26528207E-002   6.32640494E-003   3.50470906E-004   3.55469147E-004
      44       1     1.19805212E+001   1.00002269E+000   2.25330643E-002   1.19999997E+001   0.00000000E+000  -1.53748786E-020  -1.43842005E-020  -1.19999997E+001   7.00593527E-021   7.52918175E-020   3.76459088E-020   5.98245252E-003   7.00682982E-003  -1.29892823E-002   6.49463559E-003   3.59776194E-004   3.64925090E-004
      45       1     1.19800139E+001   1.00002269E+000   2.31200187E-002   1.19999997E+001   0.00000000E+000  -1.48585549E-020   9.06825468E-021  -1.19999997E+001   1.85440681E-021   1.50583635E-019   7.52918175E-020   6.13830110E-003   7.18933442E-003  -1.33276355E-002   6.66381204E-003   3.69132837E-004   3.74436897E-004
      46       1     1.19793587E+001   1.00002269E+000   2.38778921E-002   1.19999997E+001   0.00000000E+000  -1.53732899E-020   1.01131446E-020  -1.19999997E+001   1.52826978E-020   7.52918175E-020   3.76459088E-020   6.33988697E-003   7.42478028E-003  -1.37646673E-002   6.88232778E-003   3.76426822E-004   3.86411965E-004
      47       1     1.19786902E+001   1.00002269E+000   2.46514790E-002   1.19999997E+001   0.00000000E+000   8.39718915E-021  -2.05720922E-020  -1.19999997E+001   1.24246100E-020   0.00000000E+000  -3.76459088E-020   6.54146671E-003   7.66913518E-003  -1.42106019E-002   7.10529492E-003   3.83888144E-004   3.98421513E-004
      48       1     1.19781864E+001   1.00002269E+000   2.52347220E-002   1.19999997E+001   0.00000000E+000   1.66884407E-020   5.10706839E-021  -1.19999997E+001   3.87577558E-021   0.00000000E+000  -2.25875453E-019   6.69384047E-003   7.85285841E-003  -1.45466989E-002   7.27334323E-003   3.93849150E-004   4.07953858E-004
      49       1     1.19777159E+001   1.00002269E+000   2.57792317E-002   1.19999997E+001   0.00000000E+000   3.64871379E-021   1.97597795E-020  -1.19999997E+001   1.67729359E-020  -3.76459088E-020   3.76459088E-020   6.83930736E-003   8.02126077E-003  -1.48605681E-002   7.43027772E-003   4.03834007E-004   4.17375339E-004
      50       1     1.19772427E+001   1.00002269E+000   2.63268392E-002   1.19999997E+001   0.00000000E+000   7.86904025E-021  -2.25106936E-020  -1.19999997E+001   1.28317739E-020   0.00000000E+000  -1.50583635E-019   6.98562368E-003   8.19059908E-003  -1.51762228E-002   7.58810491E-003   4.13841119E-004   4.26917549E-004
